LSOA11CD,population
E01013530,2105
E01013531,1482
E01013532,1549
E01013533,1615
E01013534,1613
E01013535,1722
E01013536,1664
E01013537,1596
E01013538,1531
E01013539,2303
E01013540,1815
E01013541,1965
E01013542,2916
E01013543,1693
E01013544,1843
E01013545,1711
E01013546,1882
E01013547,2059
E01013548,1728
E01013549,1446
E01013550,1298
E01013551,1927
E01013552,1755
E01013553,1668
E01013554,1706
E01013555,2856
E01013556,1416
E01013557,1339
E01013558,2664
E01013559,1345
E01013560,1394
E01013561,1489
E01013562,1346
E01013563,1338
E01013564,3321
E01013565,2250
E01013566,2494
E01013567,2383
E01013568,2807
E01013569,1881
E01013570,2688
E01013571,2243
E01013572,1858
E01013573,2225
E01013574,2001
E01013575,1466
E01013576,1308
E01013577,1464
E01013578,1254
E01013579,1332
E01013580,1434
E01013581,1547
E01013582,1488
E01013583,1881
E01013584,2054
E01013585,2064
E01013586,1751
E01013587,1672
E01013588,1621
E01013589,1877
E01013590,2549
E01013591,2501
E01013592,1340
E01013593,1442
E01013594,1349
E01013595,2572
E01013596,1479
E01013597,1541
E01013598,1582
E01013599,1399
E01033166,2203
E01033167,1770
E01033168,1358
E01033169,1729
E01033170,1243
E01033171,1698
E01033172,1833
E01034256,1914
E01034257,1999
E01013600,2288
E01013601,1973
E01013602,2001
E01013603,1879
E01013604,2019
E01013605,2289
E01013606,2077
E01013608,1649
E01013609,1788
E01013610,1790
E01013611,1818
E01013612,1920
E01013613,2122
E01013614,1913
E01013615,1975
E01013616,1569
E01013617,2805
E01013618,1683
E01013619,1782
E01013620,1919
E01013621,3012
E01013622,1899
E01013623,2325
E01013624,1774
E01013625,2155
E01013626,1992
E01013627,1422
E01013628,1878
E01013629,1785
E01013630,2032
E01013631,1659
E01013632,1940
E01013633,1733
E01013634,1616
E01013635,1631
E01013636,1381
E01013637,2174
E01013638,1772
E01013639,1625
E01013640,2117
E01013641,1602
E01013642,1739
E01013643,1933
E01013648,3654
E01013649,2077
E01013650,1777
E01013651,2302
E01013652,2199
E01013653,3096
E01013654,2660
E01013655,2775
E01013656,2256
E01013657,1976
E01013658,2807
E01013659,2280
E01013660,2292
E01013661,2070
